tables,rows,score
1,100,0.001355633217220505
1,231,0.0013354999634126823
1,533,0.001461066771298647
1,1232,0.0018748333677649498
1,2848,0.001326366715754072
1,6579,0.001261999908213814
1,15199,0.0017516332833717267
1,35111,0.0014491332694888115
1,81113,0.0013666332233697176
1,187381,0.0015789000317454338
1,432876,0.0014932000388701756
1,1000000,0.0016108332977940638
2,100,0.0012813332335402567
2,231,0.00131266665024062
2,533,0.0013346333677570026
2,1232,0.0012935000316550334
2,2848,0.0012320666573941708
2,6579,0.0012980999890714884
2,15199,0.0014021999668329954
2,35111,0.001506366611768802
2,81113,0.0014011666644364595
2,187381,0.0014376666707297165
2,432876,0.001347366642827789
2,1000000,0.001545666561772426
3,100,0.001276066681991021
3,231,0.0014401332785685856
3,533,0.0013340332855780919
3,1232,0.0013650999559710424
3,2848,0.0013500000350177288
3,6579,0.0014558001421391964
3,15199,0.0013954333650569122
3,35111,0.0014726000372320414
3,81113,0.0014484666753560305
3,187381,0.0016117000486701727
3,432876,0.0015406332289179165
3,1000000,0.0018017999827861786
