tables,rows,score
1,100,0.0013647600542753934
1,111200,0.0014586800243705511
1,222300,0.0014058500062674284
1,333400,0.0014556600479409098
1,444500,0.0014373900135979055
1,555600,0.001334399962797761
1,666700,0.0015072299866005778
1,777800,0.0015831999946385622
1,888900,0.0016456600045785309
1,1000000,0.0015313399722799658
2,100,0.001449109986424446
2,111200,0.0015970700653269887
2,222300,0.0015101899858564138
2,333400,0.0016285400604829192
2,444500,0.0015223600203171372
2,555600,0.0016349000157788395
2,666700,0.0016978600062429905
2,777800,0.0016831999644637107
2,888900,0.00173545996658504
2,1000000,0.0017636700067669153
3,100,0.001520109991542995
3,111200,0.0017561399610713125
3,222300,0.0016433800337836146
3,333400,0.0016421500593423843
3,444500,0.0016266900580376386
3,555600,0.0016805199906229974
3,666700,0.0017408100422471762
3,777800,0.0017107599647715687
3,888900,0.0019053399795666338
3,1000000,0.0019250499783083797
