tables,rows,score
1,100,0.0017346799839287996
1,111200,0.001828800025396049
1,222300,0.0019029200542718173
1,333400,0.0018549199681729077
1,444500,0.001836899993941188
1,555600,0.001910340040922165
1,666700,0.0018401500536128878
1,777800,0.0018127300310879946
1,888900,0.0018377699656412006
1,1000000,0.0019317700061947107
2,100,0.002627020003274083
2,111200,0.004127949988469481
2,222300,0.004348819958977401
2,333400,0.004324809974059462
2,444500,0.004319060035049916
2,555600,0.0046293999999761585
2,666700,0.004494339972734451
2,777800,0.004488150030374527
2,888900,0.004630990047007799
2,1000000,0.004441029997542501
3,100,0.00362058999016881
3,111200,0.006478600041009486
3,222300,0.00715713007375598
3,333400,0.006969940033741295
3,444500,0.009347299952059985
3,555600,0.00922216004692018
3,666700,0.010217979992739856
3,777800,0.010174189996905624
3,888900,0.01092519999947399
3,1000000,0.010443189949728548
