tables,rows,score
1,100,0.0030668599996715785
1,111200,0.0035421199863776565
1,222300,0.002993429987691343
1,333400,0.0038431699853390456
1,444500,0.003989380039274693
1,555600,0.003937910031527281
1,666700,0.003583620022982359
1,777800,0.0039042799966409803
1,888900,0.004187960014678538
1,1000000,0.0017561100190505385
2,100,0.002573310025036335
2,111200,0.003978829924017191
2,222300,0.0041561600053682925
2,333400,0.003960029920563102
2,444500,0.005014219926670194
2,555600,0.004455930041149259
2,666700,0.004418310010805726
2,777800,0.004409489943645895
2,888900,0.005047070025466382
2,1000000,0.004606950003653765
3,100,0.0036551301833242177
3,111200,0.00624461998231709
3,222300,0.006561459973454475
3,333400,0.006956430012360215
3,444500,0.006739569921046495
3,555600,0.0071727500529959794
3,666700,0.007082699984312058
3,777800,0.007175819925032556
3,888900,0.0068677200935781
3,1000000,0.007012310018762946
