tables,rows,score
1,100,0.0018799332125733297
1,231,0.0016594667298098404
1,533,0.0017335666343569756
1,1232,0.001991066693638762
1,2848,0.002058833216627439
1,6579,0.0018932000578691561
1,15199,0.0016552666202187538
1,35111,0.00162730001223584
1,81113,0.0020416666908810535
1,187381,0.0019197333604097366
1,432876,0.001847466764350732
1,1000000,0.0018512999328474204
2,100,0.002544566678504149
2,231,0.003286566585302353
2,533,0.003485799999907613
2,1232,0.003373966629927357
2,2848,0.003619800011316935
2,6579,0.003791800079246362
2,15199,0.0038524999593695006
2,35111,0.004392733409379919
2,81113,0.004642299919699629
2,187381,0.0041697334963828325
2,432876,0.004882433374101917
2,1000000,0.004537600014979641
3,100,0.003765166737139225
3,231,0.005197766625011961
3,533,0.004954800009727478
3,1232,0.0050410668676098185
3,2848,0.005520533304661512
3,6579,0.006089599958310525
3,15199,0.0067681334136674804
3,35111,0.006214166603361567
3,81113,0.006618233242382606
3,187381,0.007647033470372359
3,432876,0.007542966787392895
3,1000000,0.007637499909227093
