tables,rows,score
1,100,0.0012656332304080327
1,231,0.0022212999562422433
1,533,0.0012662000178049009
1,1232,0.0013144333691646655
1,2848,0.0014131000886360805
1,6579,0.0015597000407675903
1,15199,0.001737666626771291
1,35111,0.0016605666217704613
1,81113,0.001687833418448766
1,187381,0.001662500047435363
1,432876,0.0014418999974926312
1,1000000,0.0015384332897762458
2,100,0.0014720000326633453
2,231,0.0016629000504811604
2,533,0.0013019000180065632
2,1232,0.0014345999031017225
2,2848,0.001546066642428438
2,6579,0.0015146999309460323
2,15199,0.001406833374251922
2,35111,0.0013316999344776075
2,81113,0.0017818332804987829
2,187381,0.0015987333996842306
2,432876,0.001458866676936547
2,1000000,0.0014790667531390984
3,100,0.0013876666780561209
3,231,0.0014669000326345365
3,533,0.0014382666752984126
3,1232,0.0014368000750740368
3,2848,0.0014735333000620205
3,6579,0.0014637666754424572
3,15199,0.0015028000343590975
3,35111,0.001752999999249975
3,81113,0.001534166590621074
3,187381,0.0015893666228900354
3,432876,0.0016423999331891537
3,1000000,0.0015722666090975206
