tables,rows,score
1,100,0.0013656999605397384
1,231,0.001569833296040694
1,533,0.0017364999124159415
1,1232,0.0016964666234950225
1,2848,0.0017637666314840317
1,6579,0.001784266671165824
1,15199,0.0016412999636183183
1,35111,0.0018716000486165285
1,81113,0.0018627666868269444
1,187381,0.001647366676479578
1,432876,0.002060333344464501
1,1000000,0.0020118332467973232
2,100,0.002598566779245933
2,231,0.003346433319772283
2,533,0.0033912332728505135
2,1232,0.0033224666646371284
2,2848,0.004000166663900018
2,6579,0.004057166709875067
2,15199,0.003862899960950017
2,35111,0.004293966417511304
2,81113,0.004107866746683915
2,187381,0.0041473000310361385
2,432876,0.004896033322438598
2,1000000,0.004599166723589103
3,100,0.0035645000947018466
3,231,0.004809133242815733
3,533,0.004992266496022542
3,1232,0.0055884668448319035
3,2848,0.006065799932306011
3,6579,0.00623570002305011
3,15199,0.007135933342700203
3,35111,0.00680723343975842
3,81113,0.006404099830736716
3,187381,0.007019800056392948
3,432876,0.007579566833252708
3,1000000,0.007392533278713624
