rows,dolt,mysql
100,0.001396666591366132,0.047975300112739205
231,0.0015990332855532567,0.05543646666531762
533,0.0017520332088073094,0.13992373334864774
1232,0.0015544000392158825,0.07255053333938122
2848,0.0011678667118151982,0.07061543331171076
6579,0.0012468666924784582,0.0984181334109356
15199,0.0010748000349849463,0.20588780000495413
35111,0.0013162334604809682,0.2635098333315303
81113,0.0011840667575597763,0.8214868334277222
187381,0.001133366720750928,1.2495965999551117
432876,0.0024031333159655333,3.0046184333817414
1000000,0.0016491999849677086,5.851709766701485
