rows,score_import,score_replication
100,7.70805947505869,13.65706807503011
231,7.909041699953377,14.994119399925694
533,8.330188925028779,14.324321150023025
1232,8.985533249971922,15.448812049988192
2848,9.717509175068699,16.102105100057088
6579,10.89717890007887,17.546959475032054
15199,13.255177050014026,20.128827750042547
35111,38.4464351250208,46.51036717498209
81113,14.771116825111676,22.709504875005223
187381,16.979495849984232,26.7150776500348
432876,26.239623925008345,-1.0
1000000,40.166836824966595,-1.0
